,POS,EYE_RATIO,LEYEBROW_RATIO,REYEBROW_RATIO,MOUTH_RATIO,HEAD_PITCH,HEAD_YAW,HEAD_TRANS,LEYE_X,LEYE_Y,REYE_X,REYE_Y,RESP_SIGNAL
260,5.538053849180047e-05,1.7670760640049195,0.15584479892300335,0.15138086253070607,2.722439867493273,1.6868601877654672,0.9144084152023478,3.646107176927873,-0.06521739130434782,0.1875,0.18604651162790697,0.1875,-1.0110944008921425
261,0.004201929329618881,1.7662360605464253,0.15423946721999587,0.1446607440508271,2.7270432167243617,1.6949427799860708,0.740165183867825,4.063407824798648,-0.044444444444444446,0.23529411764705882,0.10869565217391304,0.2777777777777778,-0.9721984883152556
262,0.004607195255390495,1.8137210375542268,0.1541103713922189,0.14624900709876953,2.6176904941255437,1.859183061987573,0.8990698309747424,2.654545782994596,-0.022727272727272728,0.1875,0.1590909090909091,0.23529411764705882,-0.9342133853074553
263,0.0037780384341210005,1.8215766148228607,0.15783113723032563,0.14478972439353952,2.7677236346223326,1.8543255957200755,0.786463170095818,0.32640375567336316,-0.06521739130434782,0.23529411764705882,0.10869565217391304,0.2777777777777778,-0.8929173318912677
264,0.0048638897743814025,1.8323969275891954,0.1569547770636099,0.1444245243090831,2.5737842726680693,1.8552839611315737,1.0465050496421806,2.4747566980807605,-0.044444444444444446,0.23529411764705882,0.13333333333333333,0.23529411764705882,-0.8470339065490828
265,0.00594701992861707,1.7944738796526236,0.15477052662928664,0.14748331591800845,2.6628529639953986,1.9740343293051954,0.7084499039954713,0.87892022800589,-0.022727272727272728,0.23529411764705882,0.13333333333333333,0.2777777777777778,-0.7969717119561051
266,0.005274402602718997,1.7910170115397244,0.15909461151681023,0.14963842871492575,2.610510505757665,2.082599751025573,0.7869745910980823,3.263695475325531,-0.044444444444444446,0.23529411764705882,0.13333333333333333,0.23529411764705882,-0.7465157602943253
267,0.008509455049466985,2.4936893865606313,0.16331895886747666,0.16640567218852678,2.6962284206789615,1.7125844777447015,0.9877554369181867,0.33020403874305787,0.0,-0.18181818181818182,0.21428571428571427,-1.1666666666666667,-0.7000673455982531
268,-9.194030599934955e-05,2.3661034285046014,0.16600127305227644,0.15390215709701244,2.8663719800604577,2.0366277339574355,0.9025190079139439,2.1099028390740773,-0.022727272727272728,-0.18181818181818182,0.275,-0.8571428571428571,-0.6574019609398446
269,0.000548798243005133,2.1162610296636544,0.15931874991142744,0.1528982679007728,2.9814239699997196,2.3325284647483477,0.9750271948572663,0.9095839849540931,-0.022727272727272728,0.0,0.1590909090909091,-0.08333333333333333,-0.6164516753221632
